"Action","Handling"
"Invalid queue selected.","Ugyldig kø valgt."
"Invalid sender email address","Ugyldig afsender-e-mailadresse"
"Invalid subscription confirmation code.","Ugyldig abonnementsbekræftelseskode."
"Invalid subscription ID.","Ugyldigt abonnement ID."
"Message","Besked"
"Need to Confirm","Behov for at bekræfte"
"New Newsletter Template","Ny Nyhedsbrev Skabelon"
"Newsletter","Nyhedsbrev"
"Newsletter Message Preview","Forhåndsvisning Af Nyhedsbrev Besked"
"Newsletter Problem Reports","Nyhedsbrev Problem Rapporter"
"Newsletter Queue","Nyhedsbrev Kø"
"Newsletter Styles","Nyhedsbrev Stilarter"
"Newsletter subscribe","Nyhedsbrev abonnement"
"Newsletter Subscribers","Nyhedsbrev Abonnenter"
"Newsletter Subscription","Nyhedsbrev Abonnement"
"Newsletter subscription confirmation","Nyhedsbrev abonnement bekræftelse"
"Newsletter Subscription Form","Nyhedsbrev Abonnementsformular"
"Newsletter Subscription Form Before","Nyhedsbrev Abonnementsformular Før"
"Newsletter subscription success","Nyhedsbrev abonnement lykkedes"
"Newsletter Templates","Nyhedsbrev Skabeloner"
"Newsletter unsubscribe","Afmeld nyhedsbrev"
"Newsletter unsubscription success","Afmelding af nyhedsbrev lykkedes"
"Newsletter Variables","Nyhedsbrev Variabler"
"New Template","Ny Skabelon"
"No problems found.","Ingen problemer fundet."
"No subscribers selected.","Ingen abonnenter valgt."
"Not Activated","Ikke Aktiveret"
"No Templates Found","Ingen Skabeloner Fundet"
"Not Sent","Ikke Sendt"
"Pause","Pause"
"Paused","Pauset"
"Per email address. Default 3 per hour. 0 to disable.","Pr. e-mail adresse. Standard 3 i timen. 0 for at deaktivere."
"Per IP address (lenient, legitimate users). Default 30 per hour. 0 to disable.","Pr. IP-adresse (lempelige, legitime brugere). Standard 30 i timen. 0 for at deaktivere."
"Please enter a valid email address.","Angiv venligst en gyldig e-mailadresse."
"Please refer to exeption.log","Se venligst exeption.log"
"Please select subscriber(s)","Vælg abonnent(er)"
"Preview","Eksempelvisning"
"Preview Template","Forhåndsvis Skabelon"
"Processed","Behandlet"
"Queue Date Start","Kø Dato Start"
"Queue Finish","Kø Afslut"
"Queue Information","Kø Information"
"Queue Newsletter...","Kø Nyhedsbrev..."
"Queue Start","Kø Start"
"Queue Subject","Kø Emne"
"Recipients","Modtagere"
"Reset","Reset"
"Resume","Genoptag"
"Return HTML Version","Returner Html- Version"
"Save and Resume","Gem og Genoptag"
"Save As","Gem Som"
"Save Newsletter","Gem Nyhedsbrev"
"Save Template","Gem Skabelon"
"Segment Name","Segment Navn"
"Selected problems have been deleted.","Valgte problemer er blevet slettet."
"Selected problem subscribers have been unsubscribed.","Valgte problem-abonnenter er blevet afmeldt."
"Sender","Afsender"
"Sender Email","Afsender E-Mail"
"Sender Name","Afsenders Navn"
"Sender name is required","Afsendernavn er påkrævet"
"Sending","Sender"
"Sent","Sendt"
"Sequence Step Number","Sekvens Trin Nummer"
"Sign up for our newsletter","Tilmeld dig vores nyhedsbrev"
"Sign Up for Our Newsletter:","Tilmeld dig vores nyhedsbrev:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Beklager, men administrator nægtede abonnement for gæster. Venligst <a href=""%s"">registrere</a>."
"Start","Start"
"Status","Status"
"Store","Butik"
"Store View","Butik Visning"
"Subject","Emne"
"Submit","Indsend"
"Subscribe","Abonnér"
"Subscribed","Tilmeldt"
"Subscriber","Abonnent"
"Subscriber Email","Abonnent E-Mail"
"Subscribers","Abonnenter"
"Subscribers From","Abonnenter Fra"
"Subscription Options","Abonnement Indstillinger"
"Success Email Sender","Succes E-Mail Afsender"
"Success Email Template","Email Skabelon Gennemført"
"Template code is required","Skabelonkode er påkrævet"
"Template Content","Skabelon Indhold"
"Template Information","Skabelon Information"
"Template Name","Skabelon Navn"
"Template Styles","Template Styles"
"Template Subject","Skabelon Emne"
"Template Type","Skabelon Type"
"Template type must be numeric","Skabelon type skal være numerisk"
"Thank you for your subscription.","Tak for dit abonnement."
"The newsletter template has been deleted.","Nyhedsbrevet skabelon er blevet slettet."
"There was a problem with the subscription.","Der var et problem med abonnementet."
"There was a problem with the subscription: %s","Der opstod et problem med abonnementet: %s"
"There was a problem with the un-subscription.","Der var et problem med un-abonnementet."
"The subscription has been removed.","Abonnementet er blevet fjernet."
"The subscription has been saved.","Abonnementet er blevet gemt."
"This email address is already assigned to another user.","Denne e-mail adresse er allerede tildelt en anden bruger."
"This email address is already confirmed.","Denne e-mail adresse er allerede bekræftet."
"This email address is already registered.","Denne e-mail adresse er allerede registreret."
"Type","Type"
"Unconfirmed","Ubekræftet"
"Unsubscribe","Afmeld"
"Unsubscribed","Afmeldt"
"Unsubscribe Link","Afmeld Link"
"Unsubscribe Selected","Afmeld Valgte"
"Unsubscription Email Sender","Abonnement E-Mail Afsender"
"Unsubscription Email Template","Abonnement Email Skabelon"
"View Newsletter","Se Nyhedsbrev"
"Website","Hjemmeside"
"You are currently subscribed to our newsletter.","Du abonnerer i øjeblikket på vores nyhedsbrev."
"You have been unsubscribed.","Du er blevet afmeldt."
"Your subscription has been confirmed.","Dit abonnement er blevet bekræftet."
