"3D Secure","3D Turvallinen"
"This order has already been placed.","Tämä tilaus on jo tehty."
"This PayPal order has already been used.","Tämä PayPal-tilaus on jo käytössä."
"Title","Otsikko"
"Transfer Line Items","Siirrä Rivin Kohteita"
"Type","Tyyppi"
"Unable to delete payment method.","Maksutapaa ei voi poistaa."
"Use PayPal sandbox environment for testing.","Käytä PayPal-hiekkalaatikon ympäristöä testaukseen."
"Venmo","Venmo"
"Webhook ID","Webkoukun Tunnus"
"Webhook registered successfully. ID: %s","Webkoukku rekisteröity onnistuneesti. ID: %s"
"Webhook registration failed: %s","Webkoukun rekisteröinti epäonnistui: %s"
"You have no saved payment methods.","Sinulla ei ole tallennettuja maksutapoja."
