"(not processed yet)","(no procesado aún)"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","El correo electrónico de recibo del cliente fue reprimido (%s) en %s y no ha sido entregado. Utilice ""Reenviar correo electrónico de recibo"" para entregarlo después de la prueba."
"The receipt email could not be sent. Please check the email configuration.","El email de recibo no pudo ser enviado. Por favor, compruebe la configuración de correo electrónico."
"The receipt email has been resent to %s.","El correo electrónico de recibo ha sido reenviado a %s."
"The request has been linked to order %s.","La solicitud ha sido vinculada al pedido %s."
"The revocation has been marked as accepted.","La revocación ha sido marcada como aceptada."
"The revocation has been marked as rejected.","La revocación ha sido marcada como rechazada."
"The revocation request has been saved.","La solicitud de revocación ha sido guardada."
"This revocation request no longer exists.","Esta solicitud de revocación ya no existe."
"This revocation was accepted. To refund the customer, %s for order %s.","Esta revocación fue aceptada. Para reembolsar al cliente, %s para el pedido %s."
"Total of %d request(s) were updated.","Se actualizaron un total de %d peticion(es)."
"Used to gate the my-account entry point. The statutory period is 14 days.","Utilizado para cerrar el punto de entrada de la cuenta My. El período de estatuto es de 14 días."
"User Agent","Agente de usuario"
"Verified","Verificado"
"View Request","Ver Solicitud"
"View Requests","Ver solicitudes"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Hemos recibido su declaración de revocación. Tenga en cuenta que esto sólo confirma el recibo; la validez de la revocación será evaluada y nos pondremos en contacto con usted por separado."
"Yes","Sí"
"Yes (submitted from an authenticated customer session)","Sí (enviado desde una sesión de cliente autenticada)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received."
"Your request could not be processed right now. Please try again later or contact us directly.","Su solicitud no ha podido ser procesada en este momento. Por favor, inténtelo de nuevo más tarde o póngase en contacto con nosotros directamente."
"Your revocation has been received","Tu revocación ha sido recibida"
