"%s wants to connect to your store","%s vuole connettersi al tuo negozio"
"-- No Role --","-- Nessun Ruolo --"
"Access Token Lifetime","Durata Token Di Accesso"
"Exposes the REST v2 resource surface to AI agents at /api/mcp. Same bearer tokens and permissions as REST.","Espone la superficie delle risorse REST v2 agli agenti AI a /api/mcp. Stessi token e permessi del portatore REST."
"First Name","Nome"
"Frontend/customer-facing GraphQL at /api/graphql","Frontend/customer-facing GraphQL a /api/graphql"
"General Settings","Impostazioni Generali"
"GraphQL, admin","GraphQL, admin"
"GraphQL, public","GraphQL, pubblico"
"Hidden (stored hashed). Regenerate if needed.","Nascosto (hash memorizzato). Rigenera se necessario."
"How long API responses are cached. Default: 300 (5 minutes). Set to 0 to disable caching.","Quanto durano le risposte API nella cache. Predefinito: 300 (5 minuti). Impostare a 0 per disabilitare la cache."
"ID","ID"
"If you approve, this application can:","Se approvate, la domanda può:"
"Inactive","Inattivo"
"In seconds (default: 60). A code is used once, seconds after it is issued.","In secondi (predefinito: 60). Un codice viene utilizzato una volta, secondi dopo l'emissione."
"In seconds (default: 3600 = 1 hour)","In secondi (predefinito: 3600 = 1 ore)"
"In seconds (default: 86400 = 24 hours)","In secondi (predefinito: 86400 = 24 ore)"
"JWT signing secret. Auto-generated (random) and stored encrypted on first use if left empty.","Segreto di firma JWT. Auto-generato (casuale) e memorizzato crittografato al primo utilizzo se lasciato vuoto."
"Last Name","Cognome"
"Last Used","Ultimo Utilizzato"
"Leave blank to keep the current key.","Lasciare vuoto per mantenere la chiave corrente."
"Leave empty to allow access to all stores.","Lasciare vuoto per consentire l'accesso a tutti i negozi."
"Legacy JSON-RPC","Legacy JSON-RPC"
"Legacy REST (Magento 1)","Legacy REST (Magento 1)"
"Legacy SOAP v1","SOAP v1 preesistente"
"Legacy SOAP v2","SOAP v2 ereditato"
"Legacy XML-RPC","Legacy XML-RPC"
"Lets an application connect with a browser login and your approval, instead of a token pasted by hand. Required by MCP clients such as Claude and ChatGPT. Off by default, like every other protocol.","Consente ad un'applicazione di connettersi con un login del browser e la tua approvazione, invece di un token incollato a mano. Richiesto da client MCP come Claude e ChatGPT. Off per impostazione predefinita, come ogni altro protocollo."
"MCP (Model Context Protocol)","MCP (Modello Contesto Protocollo)"
"MCP Requires Authentication","MCP Richiede Autenticazione"
"Modern REST API at /api/rest/v2/*","API REST moderna a /api/rest/v2/*"
"New API Key","Nuova Chiave Api"
"New API User","Nuovo Utente API"
"New Role","Nuovo Ruolo"
"No grantable permissions could be loaded. Run ""composer dump-autoload"" in the Maho root, then reload this page.","Non è stato possibile caricare i permessi concessi. Eseguire ""dump-autoload compositore"" nella radice di Maho, quindi ricaricare questa pagina."
"No permissions needed, these are read-only public endpoints.","Nessun permesso necessario, questi sono endpoint pubblici di sola lettura."
"OAuth2 Client Credentials","Credenziali Client OAuth2"
"OAuth2 client_id and client_secret will be generated when you save this user.","OAuth2 client_id e client_secret verranno generati quando si salva questo utente."
"OAuth2 Settings","Impostazioni OAuth2"
"Off: an agent browses the public catalog tools without a token, and a client is challenged only when it reaches for a tool it may not use. On: /api/mcp challenges every unauthenticated caller. Turn it on if a client will not start the browser login on its own.","Off: un agente sfoglia gli strumenti del catalogo pubblico senza un token, e un client è contestato solo quando raggiunge per uno strumento che potrebbe non utilizzare. Acceso: /api/mcp sfida ogni chiamante non autenticato. Attivalo se un client non avvierà il login del browser da solo."
"Original Magento 1 JSON-RPC at /api/jsonrpc","Originale Magento 1 JSON-RPC a /api/jsonrpc"
"Original Magento 1 REST API at /api/rest/*","API REST originale Magento 1 a /api/rest/*"
"Original Magento 1 SOAP at /api/soap","Originale Magento 1 SOAP a /api/sapone"
"Original Magento 1 SOAP v2 at /api/v2_soap","Originale Magento 1 SOAP v2 a /api/v2_sapone"
"Original Magento 1 XML-RPC at /api/xmlrpc","Originale Magento 1 XML-RPC a /api/xmlrpc"
"Permissions","Permessi"
"Please select an application.","Seleziona un'applicazione."
"Public Storefront Access","Accesso Public Storefront"
"Read and change store data through the API, using your own admin permissions.","Leggere e modificare i dati di archiviazione attraverso l'API, utilizzando i propri permessi di amministrazione."
"Refresh Token Lifetime","Aggiorna Durata Token"
"Regenerate Credentials","Rigenera Credenziali"
"Registered","Registrato"
"Registration alone grants nothing: an admin must still log in and approve. Turning this off blocks most connector interfaces, which have no way to enter a client id by hand.","La registrazione da sola non concede nulla: un amministratore deve ancora accedere e approvare. Disattivando questo blocco la maggior parte delle interfacce di connettore, che non hanno modo di inserire un id client a mano."
"Resource Access","Accesso Alle Risorse"
"REST/GraphQL - Roles","REST/GraphQL - Ruoli"
"REST/GraphQL - Users","REST/GraphQL - Utenti"
"Restrict to Stores","Limita ai negozi"
"REST v2 (new)","REST v2 (nuovo)"
"Revoke Access","Revoca Accesso"
"Revoke access for the selected applications?","Revocare l'accesso per le applicazioni selezionate?"
"Revoked %d grant(s). Access tokens already issued stop working when they expire.","Revoked %d grant(s). I token di accesso già emessi smettono di funzionare quando scadono."
"Role","Ruolo"
"Role has been deleted.","Il ruolo è stato eliminato."
"Role has been saved.","Il ruolo è stato salvato."
"Role Info","Informazioni Ruolo"
"Role Information","Informazioni Sul Ruolo"
"Role Name","Nome Ruolo"
"Role name is required.","Nome ruolo richiesto."
"Save and Continue Edit","Salva e continua a modificare"
"Save API User","Salva Utente API"
"Save Role","Salva Ruolo"
"Save these credentials now. The secret cannot be retrieved later.","Salva ora queste credenziali. Il segreto non può essere recuperato più tardi."
"Sends you back to","Ti invia a"
"Service Account Permissions","Permessi Account Servizio"
"Status","Stato"
"Symfony App Secret","Symfony App Secret"
"System","Sistema"
"The authorization could not be completed.","L'autorizzazione non può essere completata."
"These operations use customer JWT tokens obtained when a customer logs in. They are scoped to the logged-in customer's own data and cannot be granted to service accounts.","Queste operazioni utilizzano i token JWT del cliente ottenuti quando un cliente accede. Essi sono indirizzati ai propri dati del cliente registrato e non possono essere concessi agli account di servizio."
"These permissions control what API users (service accounts) can do. Grant only the operations each integration needs.","Queste autorizzazioni controllano ciò che gli utenti API (account di servizio) possono fare. Concedi solo le operazioni di ogni esigenza di integrazione."
"These resources are publicly readable without authentication. Any visitor or app can access this data via GET requests.","Queste risorse sono leggibili pubblicamente senza autenticazione. Qualsiasi visitatore o app può accedere a questi dati tramite richieste GET."
"This API user no longer exists.","Questo utente API non esiste più."
"This application registered itself and has not been verified. Approve it only if you started this connection yourself.","Questa applicazione si è registrata e non è stata verificata. Approverla solo se hai avviato questa connessione."
"This authorization request expired or is no longer valid. Start again from the application.","Questa richiesta di autorizzazione è scaduta o non è più valida. Riavvia dall'applicazione."
"This role no longer exists.","Questo ruolo non esiste più."
"Unnamed client","Client senza nome"
"User Info","Informazioni Utente"
"Username","Username"
"User Role","Ruolo Utente"
"Verified","Verificato"
"You denied the connection.","Hai negato la connessione."
"Your admin role may not approve API connections.","Il tuo ruolo amministratore potrebbe non approvare le connessioni API."
