"* Required Fields","* Campos obrigatórios"
"Hold Ctrl/Cmd to select multiple. All selected websites must share the same base currency; the card balance is denominated in it.","Segure Ctrl/Cmd para selecionar vários. Todos os sites selecionados devem compartilhar a mesma moeda base; o saldo do cartão é denominado nele."
"Inactive","Inativo"
"Initial Balance","Saldo inicial"
"Invalid form key. Please refresh the page and try again.","Chave de formulário inválida. Por favor, atualize a página e tente novamente."
"Invalid gift card code.","Código de vale-presente inválido"
"Invalid request.","Solicitação inválida."
"Leave blank for immediate delivery","Deixe em branco para entrega imediata"
"Leave empty to use system default. 0 = never expires.","Deixe vazio para usar o padrão do sistema. 0 = nunca expira."
"Lifetime (days)","Vitalício (dias)"
"Lost cards not replaced","Cartas perdidas não substituídas"
"Manage Gift Cards","Gerenciar Cartões-Presente"
"Maximum Amount","Quantidade Máxima"
"Message:","Mensagem:"
"Minimum Amount","Valor Mínimo"
"New Gift Card","Novo cartão presente"
"Not redeemable for cash","Não resgatável em dinheiro"
"Optional","Opcional"
"Order #","Pedido #"
"Order History","Histórico de pedidos"
"Other Amount","Outro valor"
"Personal Message","Mensagem Pessoal"
"Please enter a gift card code.","Por favor, insira o código do cartão presente."
"Please select a valid gift card amount","Por favor, selecione um valor válido de cartão de presente"
"Please select gift card(s).","Por favor, selecione cartões-presente."
"Price varies","O preço varia"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","Destinatário Email"
"Recipient Name","Nome Destinatário"
"Refund Expiration Extension (days)","Extensão de Expiração de Reembolso (dias)"
"Refund to Gift Card","Reembolso para o cartão presente"
"Remove","Excluir"
"Save And Continue Edit","Salvar e Continuar Editar"
"Save Gift Card","Salvar cartão presente"
"Schedule Delivery","Agendar entrega"
"Select Amount","Selecione a quantidade"
"Send Email","Enviar e-mail"
"Send gift card email to %s?","Enviar e-mail de cartão de presente para %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","SItuação"
"The gift card has been deleted.","O vale-presente foi excluído."
"The gift card has been saved.","O vale-presente foi salvo."
"This gift card is in %s, which cannot be converted to %s.","This gift card is in %s, which cannot be converted to %s."
"This gift card no longer exists.","Este vale-presente não existe mais."
"This is a required field.","Este campo é obrigatório."
"To","Para"
"Too many attempts. Please wait a moment and try again.","Muitas tentativas. Por favor, aguarde um momento e tente novamente."
"Too many recent lookup attempts. Please wait a while before trying again.","Muitas tentativas recentes de pesquisa. Por favor, aguarde um pouco antes de tentar novamente."
"Total: %s","Total: %s"
"Transaction History","Histórico de transações"
"Unable to check balance.","Não é possível verificar o saldo."
"Unable to find a gift card to delete.","Não foi possível encontrar um cartão de presente para excluir."
"Unknown","Desconhecido"
"Updated At","Atualizado em"
"Used","Utilizado"
"Use Default (%s)","Usar Padrão (%s)"
"View","Visualizar"
"Website","site"
"Websites","Sites"
"We could not find an active gift card for that code on this store.","Não encontramos um vale-presente ativo para esse código nesta loja."
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Quando o reembolso para um cartão de presente expirado, estende a expiração por estes dias. 0 = nenhuma extensão (o cartão permanece expirado, mas o saldo é restaurado)."
"Your Email","Seu e-mail"
"Your Name","Seu Nome"
