"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"Delete Segments","Διαγραφή Τμημάτων"
"Delete Step","Διαγραφή Βήματος"
"Disabled","Απενεργοποιημένο"
"Downloadable Product","Λήψη Προϊόντος"
"E-mails on Enter","E-mail στο Enter"
"E-mails on Exit","E-mail κατά την έξοδο"
"Edit","Επεξεργασία"
"Edit Email Sequence Step %d for ""%s""","Επεξεργαστείτε το Email Sequence Step %d για το ""%s"""
"Edit Segment","Επεξεργασία Τμήματος"
"Edit Segment '%s'","Επεξεργασία Τμήματος '%s'"
"Edit Sequence","Επεξεργασία Ακολουθίας"
"Email Automation","Email Automation"
"Email Automation Settings","Ρυθμίσεις Αυτοματισμού Email"
"Email Sequences","Ακολουθίες Email"
"Email Template","Πρότυπο Email"
"Enable/disable this sequence step","Ενεργοποίηση/απενεργοποίηση αυτού του βήματος ακολουθίας"
"Enable Email Automation","Ενεργοποίηση Αυτοματισμού Email"
"Enter Segment","Εισαγωγή Τμήματος"
"Error","Σφάλμα"
"Exit Segment","Έξοδος Τμήματος"
"Expires After (Days)","Λήγει Μετά Από (Ημέρες)"
"Failed","Απέτυχε"
"General Properties","Γενικές Ιδιότητες"
"Generate a unique coupon code for each customer","Δημιουργία μοναδικού κωδικού κουπονιού για κάθε πελάτη"
"Generate Coupon","Δημιουργία Κουπονιού"
"Generate unique coupon","Δημιουργία μοναδικού κουπονιού"
"Grouped Product","Ομαδοποιημένο Προϊόν"
"hours","ώρες"
"If %s %s %s","Εάν %s %s %s"
"Immediate","Άμεση"
"Invalid newsletter template selected.","Μη έγκυρο πρότυπο ενημερωτικού δελτίου επιλέχθηκε."
"Invalid request.","Μη έγκυρη αίτηση."
"Invalid sales rule selected for coupon generation.","Μη έγκυρος κανόνας πωλήσεων που επιλέγεται για την παραγωγή κουπονιού."
"Invalid segment.","Μη έγκυρο τμήμα."
"Invalid status.","Μη έγκυρη κατάσταση."
"Invalid trigger type.","Μη έγκυρος τύπος ενεργοποίησης."
"Is Active","Είναι Ενεργό"
"Items Count","Καταμέτρηση Στοιχείων"
"Items Quantity","Ποσότητα Αντικειμένων"
"Last Refreshed","Τελευταία Ανανέωση"
"Last Updated Date","Ημερομηνία Τελευταίας Ενημέρωσης"
"Last Viewed Date","Ημερομηνία Τελευταίας Προβολής"
"Last Viewed Date","Ημερομηνία Τελευταίας Προβολής"
"Leave empty to apply to all customer groups","Αφήστε κενό για να εφαρμοστεί σε όλες τις ομάδες πελατών"
"Lifetime Profit (Sales - Refunds)","Κέρδος Διάρκειας Ζωής (Πωλήσεις - Επιστροφές)"
"Lifetime Refunds Amount","Ποσό Επιστροφών Ζωής"
"Lifetime Sales Amount","Ποσό Πωλήσεων Διάρκειας Ζωής"
"Manage Email Sequences","Διαχείριση Ακολουθιών Email"
"Manage Segments","Διαχείριση Τμημάτων"
"Manual","Χειροκίνητα"
"Master switch to enable/disable all email automation for this segment","Κύριο διακόπτη για ενεργοποίηση/απενεργοποίηση όλων των αυτοματοποίηση email για αυτό το τμήμα"
"minutes","λεπτά"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Λεπτά για να περιμένετε πριν από την αποστολή (0 = αμέσως, 60 = 1 ώρα, 1440 = 1 ημέρα)"
"Mode","Λειτουργία"
"New Email Sequence Step for ""%s""","Νέο βήμα Ακολουθίας Email για το ""%s"""
"New Segment","Νέο Τμήμα"
"New Sequence","Νέα Ακολουθία"
"Newsletter","Ενημερωτικό Δελτίο"
"Newsletter Subscription","Συνδρομή Ενημερωτικού Δελτίου"
"Newsletter Template","Πρότυπο Ενημερωτικού Δελτίου"
"Newsletter template to use for this step","Πρότυπο ενημερωτικού δελτίου που θα χρησιμοποιηθεί για αυτό το βήμα"
"None","Κανένα"
"Not Active","Δεν Είναι Ενεργό"
"Number of days until coupon expires (default: 30)","Αριθμός ημερών μέχρι τη λήξη του κουπονιού (προεπιλογή: 30)"
"Number of Orders","Αριθμός παραγγελιών"
"Order","Σειρά"
"Order History","Ιστορικό Παραγγελιών"
"Order in the email sequence (1, 2, 3...)","Παραγγελία στην ακολουθία email (1, 2, 3...)"
"Pending","Εκκρεμεί"
"Personal Information","Προσωπικές Πληροφορίες"
"Please save the segment first.","Παρακαλώ αποθηκεύστε το τμήμα πρώτα."
"Please select...","Παρακαλώ επιλέξτε..."
"Please select at least one website.","Παρακαλώ επιλέξτε τουλάχιστον μία ιστοσελίδα."
"Please select segment(s).","Παρακαλώ επιλέξτε τμήμα(α)."
"Prefix for coupon codes","Πρόθεμα για κωδικούς κουπονιού"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Πρόθεμα για παραγόμενους κωδικούς κουπονιών (π.χ. CART, WELCOME)"
"Processing","Επεξεργασία"
"Product: %s","Προϊόν: %s"
"Product Type","Τύπος Προϊόντος"
"Progress record already exists for this customer and sequence.","Η εγγραφή προόδου υπάρχει ήδη για αυτόν τον πελάτη και την ακολουθία."
"Purchase Date","Ημερομηνία Αγοράς"
"Quantity in Cart","Ποσότητα στο καλάθι"
"Quantity Ordered","Ποσότητα Που Παραγγέλθηκε"
"Refresh Mode","Λειτουργία Ανανέωσης"
"Refresh Segments","Ανανέωση Τμημάτων"
"Row Total","Σύνολο Γραμμής"
"Row Total (Inc. Tax)","Σύνολο Σειράς (Φ.Π.Α.)"
"Sales rule does not exist.","Ο κανόνας πωλήσεων δεν υπάρχει."
"Sales rule is not active.","Ο κανόνας πωλήσεων δεν είναι ενεργός."
"Sales rule is required when coupon generation is enabled.","Απαιτείται κανόνας πώλησης όταν είναι ενεργοποιημένη η δημιουργία κουπονιού."
"Sales rule must be configured for specific coupon codes.","Ο κανόνας πωλήσεων πρέπει να ρυθμιστεί για συγκεκριμένους κωδικούς κουπονιών."
"Sales rule must have auto-generation enabled.","Ο κανόνας πωλήσεων πρέπει να έχει ενεργοποιημένη την αυτόματη παραγωγή."
"Sales rule to base coupon on","Κανόνας πωλήσεων για το βασικό κουπόνι"
"Sales rule to use as template for generated coupons","Κανόνας πωλήσεων που θα χρησιμοποιηθεί ως πρότυπο για τα παραγόμενα κουπόνια"
"Save and Continue Edit","Αποθήκευση και συνέχεια επεξεργασίας"
"Save Email Sequences","Αποθήκευση Ακολουθιών Email"
"Save Segment","Αποθήκευση Τμήματος"
"Save Segments","Αποθήκευση Τμημάτων"
"Scheduled","Προγραμματισμένο"
"Segment ID is required.","Απαιτείται ID τμήματος."
"Segment Information","Πληροφορίες Τμήματος"
"Segment Name","Όνομα Τμήματος"
"Segment name is required.","Απαιτείται όνομα τμήματος."
"Segment Refresh Cron Schedule","Χρονοδιάγραμμα Cron Τμήματος"
"Selected sales rule is not active.","Επιλεγμένος κανόνας πωλήσεων δεν είναι ενεργός."
"Selected sales rule must be configured for ""Specific Coupon"" type.","Ο επιλεγμένος κανόνας πωλήσεων πρέπει να ρυθμιστεί για τον τύπο ""Συγκεκριμένο κουπόνι""."
"Selected sales rule must have ""Use Auto Generation"" enabled.","Ο επιλεγμένος κανόνας πωλήσεων πρέπει να έχει ενεργοποιημένη την ""Χρήση Αυτόματης Δημιουργίας""."
"Sent","Απεσταλμένα"
"Sequence ID is required.","Απαιτείται το ID ακολουθίας."
"Sequence not found.","Η ακολουθία δεν βρέθηκε."
"Sequence step %d: %s","Ακολουθία βήμα %d: %s"
"Sequence Step Settings","Ρυθμίσεις Βήματος Ακολουθίας"
"Shopping Cart","Καλάθι Αγορών"
"Shopping Cart Information","Πληροφορίες Καλαθιού Αγορών"
"Simple Product","Απλό Προϊόν"
"Skipped","Παράλειψη"
"Statistics","Στατιστικά"
"Status Change Date","Ημερομηνία Αλλαγής Κατάστασης"
"Step","Βήμα"
"Step Number","Αριθμός Βήματος"
"Step number %d already exists for this segment %s trigger.","Ο αριθμός βήματος %d υπάρχει ήδη για αυτό το τμήμα %s trigger."
"Step number must be greater than 0.","Ο αριθμός βήματος πρέπει να είναι μεγαλύτερος από 0."
"Subject","Θέμα"
"Subscription Status","Κατάσταση Συνδρομής"
"Template ID is required.","Απαιτείται ID προτύπου."
"The email sequence has been deleted.","Η ακολουθία email έχει διαγραφεί."
"The email sequence has been saved.","Η ακολουθία email έχει αποθηκευτεί."
"The segment has been deleted.","Το τμήμα έχει διαγραφεί."
"The segment has been refreshed.","Το τμήμα ανανεώθηκε."
"The segment has been saved.","Το τμήμα έχει αποθηκευτεί."
"This segment no longer exists.","Αυτό το τμήμα δεν υπάρχει πλέον."
"This sequence no longer exists.","Αυτή η ακολουθία δεν υπάρχει πλέον."
"Total of %d record(s) were deleted.","Σύνολο του %d εγγραφή(ες) διαγράφηκαν."
"Total of %d record(s) were updated.","Σύνολο %d εγγραφή(ες) ενημερώθηκαν."
"Total Ordered Amount","Συνολικό Ποσό Παραγγελίας"
"Trigger event must be either ""enter"" or ""exit"".","Το συμβάν ενεργοποίησης πρέπει να είναι είτε ""είσοδος"" είτε ""έξοδος""."
"Unable to find a segment to refresh.","Δεν είναι δυνατή η εύρεση τμήματος για ανανέωση."
"Unknown Segment","Άγνωστο Τμήμα"
"View","Προβολή"
"View Count","Πλήθος Προβολών"
"View Customers in Segment","Προβολή πελατών στο τμήμα"
"Viewed","Προβλήθηκαν"
"Viewed Products","Προβεβλημένα Προϊόντα"
"Virtual Product","Εικονικό Προϊόν"
"When customer enters segment","Όταν ο πελάτης εισέρχεται στο τμήμα"
"When customer exits segment","Όταν ο πελάτης βγαίνει από το τμήμα"
"Wishlist","Λίστα Επιθυμιών"
"Wishlist Items Count","Καταμέτρηση Στοιχείων Λίστας Επιθυμιών"
"Wishlist Shared","Κοινόχρηστη Λίστα Επιθυμιών"
