"%s items queued for embedding.","%s αντικείμενα στην ουρά για ενσωμάτωση."
"Action","Ενέργεια"
"Image","Εικόνα"
"Image Generation","Δημιουργία Εικόνας"
"Image Provider","Πάροχος Εικόνων"
"Input Tokens","Input Tokens"
"Interactive","Διαδραστικό"
"In Tokens","Σε Tokens"
"Log Requests","Αιτήσεις Καταγραφής"
"Max seconds a task can run before being marked as failed.","Μέγιστος αριθμός δευτερολέπτων που μπορεί να εκτελεστεί μια εργασία πριν επισημανθεί ως αποτυχία."
"Max Tasks Per Cron Run","Μέγιστες Εργασίες Ανά Cron Εκτέλεση"
"Messages","Μηνύματα"
"Mistral Embed Model","Mistral Ενσωματωμένο Μοντέλο"
"Model","Μοντέλο"
"Must be installed locally via `ollama pull`.","Πρέπει να εγκατασταθεί τοπικά μέσω 'ollama pull`."
"No items were queued. Make sure products/categories have text content.","Δεν βρέθηκαν στοιχεία στην ουρά. Βεβαιωθείτε ότι τα προϊόντα/κατηγορίες έχουν περιεχόμενο κειμένου."
"Ollama Embed Model","Μοντέλο Ενσωμάτωσης Ollama"
"One regex per line. Matching inputs will be rejected.","Μια regex ανά γραμμή. Η αντιστοίχιση εισόδων θα απορριφθεί."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","Τελικό σημείο συμβατό με το OpenAI, π.χ. https://api.example.com/v1"
"OpenAI Embed Model","Μοντέλο Ενσωμάτωσης OpenAI"
"OpenAI Image Model","Μοντέλο Εικόνας OpenAI"
"Output Tokens","Κουπόνια Εξόδου"
"Out Tokens","Έξω Tokens"
"Pending","Εκκρεμεί"
"Pending Embed Tasks","Εκκρεμείς Ενσωμάτωση Εργασιών"
"PII Detection","Ανίχνευση PII"
"Placeholder URL Pattern","Μοτίβο Url Του Placeholder"
"Platform","Πλατφόρμα"
"Platform / Model","Πλατφόρμα / Μοντέλο"
"Priority","Προτεραιότητα"
"Processing","Επεξεργασία"
"Products (%s enabled)","Προϊόντα (%s ενεργοποιημένα)"
"Prompt Injection Detection","Άμεση Ανίχνευση Ένεσης"
"Queue","Ουρά"
"Queue an embedding task whenever a category is saved.","Ουρά μιας ενσωματωμένης εργασίας κάθε φορά που αποθηκεύεται μια κατηγορία."
"Queue an embedding task whenever a product is saved.","Ουρά σε μια εργασία ενσωμάτωσης κάθε φορά που αποθηκεύεται ένα προϊόν."
"Queue Cron Schedule","Χρονοδιάγραμμα Cron Ουράς"
"Queued","Σε Αναμονή"
"Queue for Embedding","Ουρά για Ενσωμάτωση"
"Queue Status","Κατάσταση Ουράς"
"Refresh Models","Ανανέωση Μοντέλων"
"Response","Απάντηση"
"Retries","Επαναλήψεις"
"Return a placeholder image URL when image generation is disabled or fails.","Επιστρέφει ένα URL εικόνας κράτησης θέσης όταν η δημιουργία εικόνας είναι απενεργοποιημένη ή αποτυγχάνει."
"Safety & Guardrails","Ασφάλεια Και Προστατευτικά Ράγα"
"Sanitize HTML Output","Καθαρισμός Εξόδου Html"
"Scan user inputs for prompt injection attempts before sending to AI.","Σάρωση εισόδων χρήστη για άμεσες προσπάθειες έγχυσης πριν από την αποστολή στην Τεχνητή Νοημοσύνη."
"Status","Κατάσταση"
"Store ID","Id Καταστήματος"
"Strip dangerous tags/attributes from AI responses used as HTML.","Αφαίρεση επικίνδυνων ετικετών/ιδιοτήτων από απαντήσεις τεχνητής νοημοσύνης που χρησιμοποιούνται ως HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Εργασία #%s"
"Task Details","Λεπτομέρειες Εργασίας"
"Task History","Ιστορικό Εργασιών"
"Task not found.","Η εργασία δεν βρέθηκε."
"Task Timeout (seconds)","Χρονικό Όριο Εργασίας (δευτερόλεπτα)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","Η ουρά συγχρονισμού είναι απενεργοποιημένη. Ενεργοποιήστε την στο System &gt; AI &gt; Queue Settings ή εργασίες δεν θα επεξεργαστούν ποτέ."
"This queues %s products and %s categories (%s tasks total) for background processing.","Αυτό θέτει σε αναμονή προϊόντα %s και κατηγορίες %s ( σύνολο εργασιών%s ) για επεξεργασία στο παρασκήνιο."
"This will queue all selected items for embedding. Continue?","Αυτό θα προσθέσει όλα τα επιλεγμένα αντικείμενα για ενσωμάτωση. Συνέχεια?"
"Type","Τύπος"
"Usage","Χρήση"
"Use Placeholder Fallback","Χρήση Επιστροφής Τοποθέτησης"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Χρήση {w} και {h} tokens για το πλάτος/ύψος. π.χ. https://placehold.co/{w}x{h} ή https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Μέγεθος διανύσματος. 0 = προεπιλεγμένο μοντέλο. OpenAI και Google υποστήριξη εγγενής περικοπή; άλλοι περικόπτονται μετά την ανάκτηση."
"Vector with %d dimensions","Διάνυσμα με διαστάσεις %d"
"View","Προβολή"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Προειδοποίηση: Οι εργασίες ενσωμάτωσης %d βρίσκονται ήδη σε εκκρεμότητα. Εκτέλεση και πάλι θα προσθέσει διπλότυπες εργασίες."
"— save the API key to load available models —","— αποθηκεύστε το κλειδί API για τη φόρτωση των διαθέσιμων μοντέλων —"
