"(not processed yet)","(bearbetas inte ännu)"
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Ytterligare förfrågningar registreras fortfarande, men kundkvittot e-post undertrycks (synlig och återsänds i administratörsnätet). Besegrar e-postbombning av tredje parter. 0 inaktiverar gränsen."
"General","Allmänt"
"Honeypot Field","Honeypot fält"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Om du inte får ett bekräftelsemail inom några minuter, vänligen kontakta oss på %s och citera ditt referensnummer."
"I hereby revoke this contract","Jag återkallar härmed detta kontrakt"
"Information Requested","Information begärd"
"Internal Note","Intern anteckning"
"Invalid decision.","Ogiltigt beslut."
"Invalid form key. Please refresh the page and try again.","Ogiltig formulärnyckel. Uppdatera sidan och försök igen."
"IP Address","IP-adress"
"Leave empty to use the General Contact email address.","Lämna tomt för att använda den allmänna kontaktadressen."
"Leave empty to use the label configured under Sales > Revocation Button.","Lämna tomt för att använda etiketten konfigurerad under Försäljning > Annullering Knappen."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Lämna tomt för att använda den översatta standard (""Återkalla kontrakt"" / ""Vertrag widerrufen"")."
"Link Order","Länk beställning"
"Link to order (increment ID):","Länk till beställning (inkrement-ID):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Länk till blanketten för återkallande av avtal (EU-direktiv 2023/2673). Placera den i din sidfot eller var som helst den ska vara synlig under återkallandeperioden."
"Locale","Lokalt"
"Mark as Accepted","Markera som godkänd"
"Mark as Rejected","Markera som avvisad"
"Mark the selected requests as accepted? The matched orders are not modified.","Markera de valda förfrågningarna som accepterade? De matchade beställningarna ändras inte."
"Mark the selected requests as rejected? The matched orders are not modified.","Markera de valda förfrågningarna som avvisade? De matchade beställningarna ändras inte."
"Matched Order","Matchad order"
"Merchant Notification Email","Köpman notifiering e-post"
"Merchant Notifications per Store per Hour","Handelsnotifikationer per butik per timme"
"Merchant Notification Template","Handlarens aviseringsmall"
"Minimum Submit Time (Seconds)","Minsta inlämningstid (sekunder)"
"Must only acknowledge receipt of the declaration, never acceptance.","Får bara bekräfta mottagandet av deklarationen, aldrig acceptera."
"Name","Namn"
"No","Nej"
"No (self-asserted via the public form)","Nej (självhävdade via den offentliga formen)"
"No order could be matched to this request. The customer typed ""%s"".","Ingen order kunde matchas till denna begäran. Kunden skrev ""%s""."
"No order found for increment ID ""%s"".","Ingen order hittades för inkrement-ID ""%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Endast osynliga bakgrundsåtgärder används (honungspotten, skicka timing, osynliga captcha, hastighetsgränser).<br>Manuella CAPTCHA och e-postverifieringslänkar är juridiskt otillåtliga för återkallandeformuläret. Stämmer inte dessa gränser så strikt att legitima kunder blockeras."
"Order","Beställning"
"Order Number","Ordernummer"
"Order Reference","Order referens"
"Please enter a valid email address.","Ange en giltig e-postadress."
"Please fill in your name, your order reference and your email address.","Vänligen fyll i ditt namn, din orderreferens och din e-postadress."
"Please select request(s).","Välj förfrågan(er)."
"Processed At","Bearbetad vid"
"Processed Status","Status bearbetad"
"Processing","Bearbetar"
"Process Requests","Behandla förfrågningar"
"Reason","Anledning"
"Reason (optional)","Anledning (valfritt)"
"Receipt Emails per Recipient per Day","Kvitto E-post per mottagare per dag"
"Received","Mottagen"
"Received at","Mottagen den"
"Received at (UTC)","Mottaget vid (UTC)"
"Reference number","Referensnummer"
"Rejected","Avvisad"
"Reject Revocation","Avvisa återkallande"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Avvisa denna återkallelse? Detta registrerar beslutet och lägger till en anteckning till den matchade ordern. Ingen orderstatus ändras automatiskt."
"Request #%s","Begär #%s"
"Resend Receipt Email","Skicka kvitto e-post igen"
"Resend the receipt email to %s?","Skicka kvittot till %s?"
"Revocation Button","Knapp för annullering"
"Revocation Form","Formulär för annullering"
"Revocation Merchant Notification","Meddelande om annullering av handlare"
"Revocation Receipt Confirmation","Bekräftelse på återkallelse"
"Revocation received","Återkallelse mottagen"
"Revocation Request","Begäran om annullering"
"Revocation Request #%s","Begäran om återkallande #%s"
"Revocation request #%s accepted.","Begäran om återkallande #%s godkänd."
"Revocation request #%s rejected.","Begäran om annullering #%s avvisades."
"Revocation Requests","Begäran om återkallande"
"Revocation Success","Återkallande lyckades"
"Revoke contract","Återkalla kontrakt"
"Revoke this contract","Återkalla detta kontrakt"
"Sales","Försäljning"
"Save Note","Spara anteckning"
"Store View","Butiksvy"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Inlämningar snabbare än så här efter sidan render släpps tyst som bot trafik. 0 inaktiverar kontrollen."
"Submissions per IP per Hour","Inlämningar per IP per timme"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","Kunden kvitto e-post undertrycktes (%s) på %s och har inte levererats. Använd ""skicka kvitto e-post"" för att leverera den efter triage."
"The receipt email could not be sent. Please check the email configuration.","Kvittot kunde inte skickas. Vänligen kontrollera e-postkonfigurationen."
"The receipt email has been resent to %s.","Kvittot har skickats till %s."
"The request has been linked to order %s.","Begäran har kopplats till order %s."
"The revocation has been marked as accepted.","Återkallandet har markerats som accepterat."
"The revocation has been marked as rejected.","Återkallandet har markerats som avvisat."
"The revocation request has been saved.","Begäran om återkallelse har sparats."
"This revocation request no longer exists.","Denna begäran om återkallelse finns inte längre."
"This revocation was accepted. To refund the customer, %s for order %s.","Denna återkallelse godkändes. För att återbetala kunden, %s för order %s."
"Total of %d request(s) were updated.","Totalt antal %d förfrågningar uppdaterades."
"Used to gate the my-account entry point. The statutory period is 14 days.","Används för att grinda mitt kontos ingångspunkt. Den lagstadgade tiden är 14 dagar."
"User Agent","Användarens agent"
"Verified","Verifierad"
"View Request","Visa förfrågan"
"View Requests","Visa förfrågningar"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Vi har mottagit din återkallelseförklaring. Observera att detta endast bekräftar kvitto; giltigheten av återkallandet kommer att bedömas och vi kommer att kontakta dig separat."
"Yes","Ja"
"Yes (submitted from an authenticated customer session)","Ja (inskickat från en autentiserad kundsession)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","Du kan återkalla ditt avtal inom den lagstadgade ångerfristen med hjälp av detta formulär.<br>Efter inlämning får du en bekräftelse på att din deklaration har mottagits."
"Your request could not be processed right now. Please try again later or contact us directly.","Din begäran kunde inte behandlas just nu. Försök igen senare eller kontakta oss direkt."
"Your revocation has been received","Din återkallelse har tagits emot"
