"%s items queued for embedding.","%s elemente puse la coadă pentru încorporare."
"Action","Acțiune"
"Failed to fetch models. See exception.log for details.","Preluarea modelelor a eșuat. Vezi excepția.log pentru detalii."
"Fetching...","Preluare..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Deasupra răspunsurilor care conţin adrese de e-mail, numere de telefon sau SSN."
"Google Embed Model","Model de încorporare Google"
"ID","ID"
"Image","Imagine"
"Image Generation","Generarea de imagini"
"Image Provider","Furnizor de imagini"
"Input Tokens","Input Tokens"
"Interactive","Interactiv"
"In Tokens","În Tokene"
"Log Requests","Jurnal cereri"
"Max seconds a task can run before being marked as failed.","Max secunde o sarcină poate rula înainte de a fi marcată ca eșuată."
"Max Tasks Per Cron Run","Sarcini Max / Rulare Cron"
"Messages","Mesaje"
"Mistral Embed Model","Model de încorporare Mistral"
"Model","Model"
"Must be installed locally via `ollama pull`.","Trebuie instalat local prin intermediul `ollama pull`."
"No items were queued. Make sure products/categories have text content.","Nu au fost puse elemente in coada. Asigura-te ca produsele/categoriile au continutul textului."
"Ollama Embed Model","Model de încorporare Ollama"
"One regex per line. Matching inputs will be rejected.","Un regex pe linie. Intrările de potrivire vor fi respinse."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","Criteriu final compatibil OpenAI, ex. https://api.example.com/v1"
"OpenAI Embed Model","Model OpenAI"
"OpenAI Image Model","Model imagine OpenAI"
"Output Tokens","Tokene de ieșire"
"Out Tokens","Tokene în afară"
"Pending","In asteptare"
"Pending Embed Tasks","Sarcini in asteptare"
"PII Detection","Detectare PII"
"Placeholder URL Pattern","Model URL substituent"
"Platform","Platformă"
"Platform / Model","Platformă / Model"
"Priority","Prioritate"
"Processing","Prelucrare"
"Products (%s enabled)","Produse (%s activat)"
"Prompt Injection Detection","Detectare de injectare promptă"
"Queue","Coadă"
"Queue an embedding task whenever a category is saved.","Coadă o sarcină de încorporare ori de câte ori o categorie este salvată."
"Queue an embedding task whenever a product is saved.","Coada unei sarcini de încorporare ori de câte ori un produs este salvat."
"Queue Cron Schedule","Grafic Cron de coadă"
"Queued","În aşteptare"
"Queue for Embedding","Coadă pentru încorporare"
"Queue Status","Stare coadă"
"Refresh Models","Reîmprospătare modele"
"Response","Răspuns"
"Retries","Repetări"
"Return a placeholder image URL when image generation is disabled or fails.","Returnează un URL pentru imaginea substituentului când generarea imaginii este dezactivată sau eșuată."
"Safety & Guardrails","Siguranță și Gardieni"
"Sanitize HTML Output","Ieșire HTML Sanitize"
"Scan user inputs for prompt injection attempts before sending to AI.","Scanează intrările utilizatorilor pentru a efectua rapid injecții înainte de a trimite la AI."
"Status","Status"
"Store ID","ID Magazin"
"Strip dangerous tags/attributes from AI responses used as HTML.","Elimină etichetele/atributele periculoase din răspunsurile AI folosite ca HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Sarcina #%s"
"Task Details","Detalii sarcină"
"Task History","Istoric sarcini"
"Task not found.","Sarcina nu a fost găsită."
"Task Timeout (seconds)","Timpul de expirare sarcină (secunde)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","Coada de așteptare este dezactivată. Activați-o în System &gt; AI &gt; Setări sau sarcini de așteptare nu vor fi niciodată procesate."
"This queues %s products and %s categories (%s tasks total) for background processing.","Această coadă de produse %s și categoriile %s (%s sarcini totale) pentru procesarea de fundal."
"This will queue all selected items for embedding. Continue?","Aceasta va coada toate elementele selectate pentru a fi încorporate. Continuați?"
"Type","Tip"
"Usage","Utilizare"
"Use Placeholder Fallback","Utilizează cascadă"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Folosește {w} și {h} tokeni pentru lățime/înălțime. ex. https://placehold.co/{w}x{h} sau https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Dimensiune Vector. 0 = model implicit. OpenAI și Google suportă trunction nativ; altele sunt trunchiate după recuperare."
"Vector with %d dimensions","Vector cu dimensiunile %d"
"View","Vizualizare"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Avertisment: Sarcinile de încorporare %d sunt deja în așteptare. Rularea va adăuga din nou sarcini duplicat."
"— save the API key to load available models —","— salvează cheia API pentru a încărca modelele disponibile —"
